surname	firstname	twostephash	uid
Hirvonen	 Miss. Hildur E	{1493509, 677895, 332297, 724494, 241166, 1553424, 1049619, 910358, 616983, 178715, 1672233, 1700397, 1743406, 105522, 392246, 310846, 417346, 1628227, 1687619, 370245, 1847874, 520263, 873034, 1620048, 203350, 387158, 1739862, 1746518, 1884761, 1124955, 1307228, 688738, 550502, 1014893, 1497198, 2001007, 1899632, 1699441, 494195, 1153143, 255099, 323721, 1973386, 1216141, 1335949, 924307, 730774, 174231, 1509528, 962715, 682655, 932003, 1581733, 1953959, 1839275, 1327276, 1679533, 1458870, 1172151, 691384, 1478328, 1994425, 1128636, 1143997, 1150652, 1791171, 1238212, 1278153, 1726666, 1960141, 1026784, 1589985, 1609953, 38627, 34532, 1631460, 1908967, 152815, 1531120, 63730, 1393398, 2011895, 435960, 1782015, 1914623, 544513, 24839, 1313544, 1213705, 1556745, 1646344, 525071, 608529, 1875217, 943891, 1134870, 157466, 1196314, 1453850, 1147173, 181544, 683816, 1930025, 1787180, 572207, 1021745, 501560, 757561, 1731385, 604475, 1603902, 1647935, 1729343, 1806664, 1743177, 1339210, 652621, 942926, 1450834, 632150, 364375, 649048, 792927, 1058144, 1117023, 1091941, 360806, 72039, 1561957, 1343337, 528747, 956274, 1652596, 1636729, 507773, 1956734, 530830, 849311, 1889186, 1559462, 294831, 1193396, 330680, 566714, 1230780, 1498046, 1426879, 1576385, 1461186, 772548, 762310, 490952, 797641, 1762763, 1337293, 1892304, 463838, 907743, 323040, 1543649, 21989, 420326, 667623, 679911, 1229295, 753136, 1959417, 1519099}	479
Shutes	 Miss. Elizabeth W	{613376, 1014274, 1614342, 2041352, 332297, 1440266, 647699, 1049619, 306710, 1032728, 231961, 1451548, 1962014, 1545246, 99870, 88097, 1976351, 679462, 1700397, 1743406, 1162291, 21557, 1196085, 442423, 14394, 1198651, 651329, 1739841, 1628227, 1847874, 839749, 383047, 843338, 134734, 270927, 632398, 942672, 1620048, 879188, 1463385, 1884761, 1881179, 597084, 984156, 1541216, 1140838, 1167986, 951411, 560759, 1090169, 493690, 1184893, 2019459, 323721, 1472138, 891021, 1005710, 1317517, 624272, 969363, 682646, 1509528, 200857, 437919, 1027233, 1581733, 439975, 1703080, 429225, 1953959, 138930, 208567, 519867, 1446077, 1166014, 489663, 1070792, 961737, 112330, 1780939, 1556180, 850649, 599770, 1170649, 1483481, 142048, 1150691, 982248, 1110765, 1871089, 1128694, 1479414, 1965817, 1019131, 824070, 24839, 1313544, 1213705, 44811, 166155, 1341708, 525071, 1635600, 1750799, 1134870, 908056, 1559322, 1470750, 676639, 678687, 1047329, 780076, 1229612, 1497394, 1896242, 1921845, 1343289, 1731385, 604475, 146751, 669504, 786752, 1729343, 1218371, 472901, 264008, 1806664, 934226, 185688, 2017115, 1117023, 795488, 1058144, 293730, 1846623, 1589609, 1153898, 157547, 1345390, 808821, 1290617, 916347, 1953660, 507263, 1678724, 1087884, 530830, 535950, 214418, 526233, 279450, 1572763, 509345, 294831, 1770416, 123829, 709557, 522174, 554943, 1383359, 1426879, 1461186, 513987, 772548, 328652, 546768, 1061330, 266195, 768982, 1148893, 463838, 773598, 1281504, 1607648, 667623, 310249, 150507, 1488878, 1274863, 1495536, 1756663, 1959417, 1519099, 622589}	609
Slemen	 Mr. Richard James	{1493509, 98310, 1722375, 1213958, 1533453, 235022, 1114645, 586774, 514583, 1158176, 88097, 811042, 1077797, 1398823, 729640, 583212, 956461, 329262, 1407025, 392246, 561212, 335937, 531524, 1350212, 843338, 474187, 821840, 788050, 1402456, 1879642, 1124955, 602206, 1307743, 967267, 1501802, 198764, 2001007, 829552, 1090169, 1686141, 32383, 1353862, 126090, 1984651, 891021, 1229969, 1740434, 1395859, 81044, 252569, 962715, 906920, 138930, 554162, 416949, 868022, 1644214, 981178, 1856193, 58562, 1156290, 1070277, 314055, 644808, 864458, 1726666, 1918154, 1314509, 1763534, 113359, 500431, 1613009, 433875, 1601748, 1867479, 1916120, 233178, 599770, 1862877, 1224414, 1260768, 1065698, 38627, 34532, 1631460, 1281258, 813804, 1334516, 706806, 1393398, 435960, 1496823, 1650423, 1019131, 1664252, 2011895, 1698046, 375041, 1535745, 617732, 665353, 1245449, 608529, 193818, 157466, 1559322, 763165, 1454367, 143650, 1443618, 1787180, 1550125, 1671475, 1626952, 973132, 1442126, 819535, 1508686, 1081682, 842581, 1005398, 1816921, 255834, 792927, 1526623, 1727330, 711528, 867176, 1589609, 157547, 507243, 528747, 762735, 326513, 407413, 839033, 544634, 2020226, 411011, 1951619, 1580431, 472467, 1232278, 1262486, 834971, 1678235, 833953, 880547, 243114, 170413, 1821103, 1296304, 1523122, 709557, 337846, 933303, 1693115, 908734, 1855422, 540608, 393158, 1174983, 1892304, 1073107, 456665, 1505755, 1256414, 1149409, 1543649, 775656, 1500136, 1923562, 150507, 1553905, 1704948, 1363445, 1521659, 487932}	812
Richards	 Master. William Rowe	{144388, 1213958, 996362, 550924, 503310, 1024533, 586774, 1114645, 409626, 1493532, 749085, 99870, 1158176, 1533984, 794659, 202277, 1077797, 729640, 236592, 1749553, 1671219, 1220664, 1031737, 69179, 446524, 1198651, 335937, 1054785, 531524, 1350212, 383047, 134734, 632398, 259152, 1686608, 788050, 1116244, 1637973, 203350, 861270, 984156, 1307228, 223838, 602206, 1307743, 1085537, 782434, 967267, 845412, 1432163, 1140838, 1907297, 1501802, 496238, 829552, 441462, 105599, 32383, 1353862, 1413769, 126090, 505994, 107660, 1984651, 1229969, 1740434, 1395859, 1643668, 1771156, 1379489, 906920, 429225, 1703080, 762539, 1118382, 554162, 818868, 868022, 1143997, 2042558, 1856193, 58562, 2035905, 230086, 96455, 745673, 112330, 864458, 961737, 1082057, 1091790, 500431, 1314509, 1351373, 1613009, 1918154, 1568469, 233178, 1271009, 1302249, 1281258, 316142, 589039, 617712, 1247471, 2014450, 404213, 1814773, 1965817, 1795323, 1698046, 375041, 1535745, 1563906, 151300, 824070, 1646344, 665353, 1245449, 493835, 609554, 193818, 544539, 489244, 676639, 1454367, 1443618, 465195, 481069, 433966, 1550125, 805173, 260412, 957244, 567102, 359743, 1603902, 1916732, 475458, 927554, 802120, 1539401, 1626952, 973132, 1442126, 1151311, 1508686, 1619795, 1875795, 842581, 1005398, 185688, 1330009, 2017115, 1263453, 1297245, 200031, 1418591, 1070945, 293730, 1727330, 1730917, 867176, 1797993, 157547, 1345390, 1469296, 326513, 256372, 407413, 1921399, 344953, 839033, 2020226, 1951619, 1098629, 1323917, 1580431, 181137, 91028, 1504150, 169879, 834971, 1228187, 1572763, 1163166, 1678235, 509345, 1096097, 1889186, 244135, 269224, 637863, 1260967, 1372079, 1722288, 1821103, 1497522, 2017715, 1141684, 121269, 264119, 1693115, 908734, 1855422, 513987, 393158, 1174983, 797641, 1812429, 744402, 1547732, 768982, 520155, 1256414, 624099, 775656, 994280, 1500136, 1099243, 1923562, 1704948, 889850, 1521659, 313854}	407
Turcin	 Mr. Stjepan	{144388, 319498, 1808395, 147980, 1241100, 1542157, 1527824, 1553424, 1024533, 586774, 439333, 1098279, 729640, 1147944, 1265198, 321584, 1749553, 1093682, 179258, 69179, 2023995, 1816127, 1137220, 976965, 520263, 644684, 515150, 1607758, 515664, 788050, 1432668, 418913, 1907297, 80483, 1064041, 829552, 114804, 705150, 1091718, 1038983, 344712, 1391750, 126090, 1192593, 1229969, 1740434, 679574, 962715, 682655, 39072, 1379489, 21683, 1119923, 1994425, 1940673, 1636040, 1726666, 1918154, 556236, 860366, 233178, 902878, 1045214, 1408223, 1796318, 34532, 217831, 1531120, 364785, 2011895, 1438973, 544513, 925442, 1535745, 1442053, 1245449, 625419, 1968395, 1875217, 157466, 29472, 1713952, 462114, 47907, 1443618, 329001, 1008939, 1787180, 1550125, 1671475, 739124, 1614132, 1802549, 245055, 702790, 411984, 1909584, 790360, 200031, 482655, 792927, 620388, 733541, 528747, 1754998, 842103, 1488759, 1921399, 1014651, 1902975, 1937797, 1568649, 1580431, 2040719, 1255832, 1498522, 741789, 865694, 294305, 2017715, 330680, 1693115, 1702333, 760774, 730567, 762310, 699849, 986567, 1174983, 1286086, 1762763, 1892304, 16858, 1256414, 1538527, 1069539, 409086, 775656, 864753, 1704948, 1492469, 1959417, 1388030}	189
Kantor	 Mr. Sinai	{613376, 459782, 1070601, 319498, 599050, 147980, 1161227, 1527824, 120341, 586774, 350752, 982560, 1676326, 1098279, 1269293, 1282105, 2023995, 81986, 1137220, 976965, 644684, 2008652, 515150, 515664, 1907281, 788050, 1867858, 570454, 623704, 1432668, 1675361, 360040, 829552, 1804402, 114804, 1644666, 1857659, 105599, 957063, 1273480, 52362, 634510, 1229969, 1740434, 58517, 1535643, 1791134, 39072, 1492641, 510633, 1560747, 573101, 364729, 863419, 1089213, 1940673, 1918662, 30926, 860366, 1166542, 2023123, 1477849, 233178, 2009820, 754, 730355, 1296629, 1841914, 1438973, 218366, 691456, 1245449, 1055510, 157466, 936732, 567582, 29472, 462114, 1443618, 343848, 329001, 656690, 1671475, 739124, 886073, 245055, 1398085, 841546, 200031, 505699, 1591142, 1258855, 1970023, 752495, 626033, 730993, 1488759, 104319, 1338239, 1937797, 386956, 1580431, 1210768, 2040719, 865694, 920478, 294305, 1597869, 121269, 1693115, 1286086, 1174983, 1256414, 1011680, 775656, 450027, 1550315, 1564141, 1758700, 1704948, 204789}	99
Baclini	 Miss. Eugenie	{98310, 379910, 332297, 319498, 1049619, 1164312, 778777, 772599, 1281576, 1700397, 212526, 1743406, 392246, 1031737, 293434, 625213, 811583, 1646656, 1847874, 1628227, 1137220, 839749, 1687619, 1490503, 78921, 782921, 1922636, 634446, 515664, 1620048, 246870, 1739862, 648280, 1884761, 818267, 1124955, 1133158, 502899, 1488511, 233094, 323721, 1691799, 1509528, 330396, 664737, 1314980, 1953959, 1039528, 429225, 1231532, 509105, 1128636, 1446077, 752830, 489663, 1940673, 1983174, 1070792, 112330, 436939, 1960141, 850649, 920282, 1170649, 831196, 38627, 580324, 1150691, 1631460, 982248, 1992942, 1871089, 1393398, 496386, 824070, 24839, 1213705, 166155, 1119499, 1809163, 525071, 608529, 364306, 1134870, 157466, 1559322, 29472, 462114, 1587490, 1351461, 1757480, 1023279, 1640753, 235314, 1767729, 1731385, 277819, 604475, 1729343, 555328, 1563969, 1806664, 1831761, 1390421, 632150, 971100, 1117023, 1058144, 1343337, 507243, 61294, 1345390, 530802, 298868, 696696, 386426, 1149827, 1336708, 1202566, 998283, 535950, 616852, 1506709, 1572763, 688032, 377256, 1145259, 2033579, 294831, 1426879, 540608, 1461186, 1492419, 824772, 1583043, 220102, 1286086, 1126346, 74705, 768982, 1410524, 463838, 1830367, 1311712, 1542625, 1543649, 21989, 242149, 667623, 504300, 257006, 1421294, 774133, 239606, 485367, 870901, 1959417, 1519099}	644
Smith	 Miss. Marion Elsie	{408582, 332297, 1049619, 1114645, 306710, 1545246, 1059872, 679462, 1700397, 1743406, 21557, 1854005, 442423, 1198651, 1595965, 1010752, 335937, 417346, 1628227, 1847874, 702534, 383047, 1553994, 632398, 1620048, 861270, 1739862, 1746518, 1884761, 597084, 602206, 967267, 550502, 1140838, 1732712, 496238, 1167986, 730739, 951411, 1090169, 106109, 787079, 957063, 323721, 126090, 505994, 1335949, 624272, 1458322, 1798807, 1509528, 664737, 1581733, 1953959, 1039528, 510633, 1703080, 1839275, 573101, 1128636, 1150652, 752830, 489663, 58562, 914115, 1278153, 667851, 1960141, 500431, 1568469, 850649, 1170649, 2009820, 142048, 1609953, 1302249, 259310, 152815, 1992942, 1168625, 404213, 1112315, 1230077, 1698046, 1563906, 1281795, 617732, 24839, 310024, 665353, 1002249, 1213705, 1313544, 525071, 1635600, 1549074, 943891, 1134870, 193818, 567582, 1538335, 1047329, 1147173, 276776, 343848, 433966, 572207, 893748, 1126199, 501560, 1638711, 604475, 1729343, 264008, 1806664, 1442126, 819535, 1478486, 185688, 508248, 621914, 514907, 1074525, 54110, 16735, 263008, 1058144, 865122, 1117023, 1343337, 1988971, 972141, 808821, 1290617, 669566, 1737086, 1149827, 1336708, 1951619, 909192, 348043, 1087884, 440205, 930194, 1763736, 834971, 645542, 99755, 1145259, 294831, 1821103, 1072056, 1383359, 1426879, 107458, 1461186, 772548, 533445, 822727, 984009, 1566165, 463838, 323040, 828385, 1442786, 1923562, 1488878, 77298, 1704948, 1959417, 1519099}	346
Nasser	 Mr. Nicholas	{1654275, 1508357, 98310, 15367, 996362, 550924, 120341, 586774, 1167388, 1158176, 1533984, 1755690, 910381, 1354292, 1220664, 625213, 1847874, 531524, 1016903, 1922636, 632398, 1907281, 788050, 1637973, 423002, 1980512, 829552, 1804402, 223859, 105599, 1413769, 634512, 892560, 1229969, 1395859, 1740434, 446107, 1953959, 1560747, 868022, 110775, 1942199, 1128636, 2042558, 489663, 1856193, 1130690, 2035905, 364745, 1918154, 864458, 1082057, 1551052, 1314509, 30926, 1627339, 1777362, 1916120, 233178, 1281258, 691949, 482547, 730355, 1296629, 375041, 1535745, 1519366, 1245449, 1341194, 1809163, 691473, 1762580, 936732, 1443618, 1550125, 1671475, 805173, 886073, 260412, 359743, 574273, 927554, 1398085, 842581, 632150, 1005398, 1088854, 432985, 1297245, 200031, 1117023, 533346, 161647, 752495, 1579887, 683890, 281460, 407413, 1122678, 1933176, 1059706, 2020226, 282501, 1098629, 436616, 998283, 1582476, 1323917, 244622, 494489, 1944989, 920478, 637863, 269224, 1260967, 1011114, 1770416, 1962928, 121269, 348600, 1693115, 1855422, 816577, 396739, 1357251, 220102, 1174983, 1812429, 28112, 463838, 1256414, 1768931, 242149, 775656, 450027, 1758700, 1071088, 1704948, 239606, 1959417}	122
Rice	 Master. Arthur	{521217, 1014274, 996362, 1537548, 1553424, 737298, 1114645, 586774, 1713686, 1545246, 1533984, 729640, 277040, 1749553, 1196085, 1220664, 69179, 1701438, 335937, 531524, 843338, 474187, 134734, 788050, 861270, 984156, 602206, 871007, 875104, 1907297, 868450, 967267, 198764, 496238, 1261168, 1167986, 223859, 441462, 1090169, 493690, 105599, 681602, 2019459, 1091718, 1413769, 126090, 505994, 1032339, 81044, 1961620, 1379489, 1165994, 21683, 1994425, 1493694, 2042558, 2035905, 58562, 1156290, 1375938, 961737, 1082057, 1918154, 1314509, 500431, 872655, 1568469, 1916120, 233178, 142048, 1302249, 1281258, 1531120, 404213, 706806, 1965817, 1664252, 544513, 617732, 665353, 1245449, 625419, 1635600, 1875217, 193818, 1097498, 640284, 1559836, 676639, 1047329, 1443618, 140076, 1550125, 433966, 1528625, 1497394, 805173, 260412, 359743, 927554, 1442126, 819535, 1696590, 842581, 1005398, 2017115, 1297245, 1846623, 1730917, 298868, 407413, 1921399, 767866, 669566, 1326463, 1951619, 143748, 1023876, 1313161, 1087884, 1323917, 214418, 834971, 1565091, 637863, 269224, 1821103, 1296304, 806321, 1770416, 2017715, 709557, 330680, 908734, 1383359, 1855422, 730567, 972232, 797641, 1174983, 1762763, 1812429, 456665, 1939420, 1246687, 310249, 1923562, 1071088, 1342972}	171
Abbing	 Mr. Anthony	{319498, 1161227, 1440266, 904719, 1527824, 737298, 339475, 647699, 1499156, 586774, 1713686, 1545246, 1424414, 1949733, 729640, 749101, 105522, 1354292, 1996855, 1282105, 14394, 2023995, 1468989, 1137220, 947272, 1922636, 788050, 570454, 1113687, 1432668, 897629, 875104, 360040, 310379, 829552, 646271, 1697410, 957063, 1273480, 1229969, 1740434, 1032339, 1012375, 1194648, 541855, 39072, 1492641, 439975, 21683, 1942199, 1478328, 154298, 461500, 1150652, 1940673, 1342149, 1918662, 1982152, 1278153, 864458, 1551052, 233178, 1167580, 142048, 1258221, 1479414, 218366, 1535745, 1245449, 44811, 1976587, 1635600, 1024786, 943891, 1573652, 908056, 157466, 640284, 1259295, 29472, 1047329, 1443618, 1147173, 329001, 1515307, 1090349, 1550125, 572207, 1671475, 739124, 501560, 1226554, 574273, 674125, 191317, 790360, 1530200, 200031, 795488, 999266, 1727330, 1591142, 1607018, 1081707, 575855, 1579887, 683890, 1854838, 1488759, 767866, 669566, 1937797, 1313161, 1087884, 1095567, 1210768, 1752977, 1708954, 517022, 294305, 1330086, 1857454, 1693115, 522174, 1383359, 1766334, 816577, 1286086, 986567, 1174983, 546768, 895953, 1280468, 1246687, 323040, 1768931, 775656, 257006, 1704948, 1835516, 187902}	845
Serepeca	 Miss. Augusta	{144388, 763908, 15367, 996362, 1415181, 737298, 1049619, 827413, 1713686, 1322521, 1814554, 178715, 629283, 1036324, 439333, 1559076, 878633, 1672233, 1700397, 212526, 490543, 1743406, 1093682, 332857, 758842, 69179, 1847874, 1628227, 1530951, 191052, 899660, 1446988, 1620048, 218193, 345172, 1637973, 1739862, 1884761, 423002, 1000026, 875104, 1907297, 1976416, 1064041, 223859, 1986171, 1273467, 1751166, 705150, 32383, 1697410, 233094, 1091718, 323721, 1413769, 1973386, 1216141, 1032339, 1509528, 1556632, 961697, 1379489, 1581733, 1953959, 1310907, 1128636, 1241278, 2042558, 2035905, 112330, 1780939, 556236, 1960141, 411854, 1613009, 499411, 936150, 964311, 1170649, 1058012, 353501, 1026784, 1264864, 2024162, 402152, 861934, 1131766, 1760506, 234237, 531198, 953599, 375041, 24839, 1213705, 625419, 1968395, 525071, 1762580, 1134870, 544539, 640284, 1398054, 1454378, 156972, 1787180, 433966, 1640753, 235314, 822067, 805173, 1731385, 1598266, 604475, 260412, 1729343, 927554, 1806664, 1743177, 2023244, 315213, 771409, 943444, 729941, 789849, 1117023, 849760, 533346, 1727330, 867176, 1343337, 1785707, 1082223, 1853297, 1921399, 1464184, 1352057, 767866, 907651, 1023876, 282501, 1202566, 1588616, 1313161, 1568649, 1717645, 244622, 428946, 718743, 783262, 377256, 170413, 540589, 294831, 1597869, 2017715, 1426879, 1461186, 699849, 1337293, 1812429, 28112, 588761, 463838, 1246687, 1542625, 1069539, 21989, 667623, 1313769, 1071088, 870901, 1959417, 1519099, 313854}	842
Persson	 Mr. Ernst Ulrik	{1294337, 144388, 1493509, 173575, 2035209, 996362, 568848, 237075, 827413, 586774, 1024533, 1164312, 1814554, 1822241, 1567779, 1437221, 729640, 1749553, 105522, 1031737, 69179, 1847874, 1628227, 839749, 474187, 1071185, 788050, 547421, 1096800, 1907297, 967267, 1018470, 223859, 1404533, 1056375, 276601, 112762, 1091718, 957063, 1413769, 212106, 1229969, 1740434, 1816726, 1315991, 1509528, 962715, 1379489, 270498, 1852581, 1953959, 322741, 1772214, 1478328, 1045177, 1128636, 1150652, 1446077, 489663, 2042558, 2035905, 598212, 1278153, 112330, 1780939, 764620, 1918154, 936150, 233178, 829662, 34532, 982248, 1807598, 806128, 2011895, 1698046, 953599, 1535745, 617732, 1519366, 665353, 1245449, 166155, 625419, 1506573, 943891, 193818, 1559322, 1443618, 831780, 1147173, 464167, 1726250, 1787180, 1550125, 572207, 1671475, 1614132, 557365, 501560, 260412, 927554, 804172, 315213, 973132, 819535, 464722, 790360, 249180, 200031, 482655, 792927, 1117023, 1372003, 2017119, 528747, 582004, 477557, 842103, 1800056, 1921399, 1014651, 1902975, 1513860, 2032006, 318856, 909192, 1588616, 431502, 530830, 535950, 1580431, 428946, 2040719, 222618, 1109915, 147870, 15262, 833953, 1203620, 267691, 2017715, 1729972, 994229, 1373624, 1693115, 1975740, 382399, 628678, 762310, 1174983, 699849, 1812429, 1892304, 618449, 795605, 1256414, 775656, 1871336, 1923562, 331755, 504300, 864753, 1182193, 87027, 1704948, 1000438, 1959417}	267
Ahlin	 Mrs. Johan (Johanna Persdotter Larsson)	{1930753, 1729538, 1654275, 1305603, 1681412, 98310, 1213958, 61448, 1634823, 319498, 564746, 996362, 2035209, 364559, 1527824, 120341, 827413, 428567, 1114645, 890393, 999962, 1814554, 1167388, 1427485, 1998875, 425505, 1077797, 1437221, 1519141, 802856, 1942056, 1743403, 362541, 1700397, 1790509, 1801775, 523313, 1600566, 1854007, 1031737, 293434, 2023995, 1052732, 580672, 1090626, 1485890, 1137220, 1350212, 1628227, 1847874, 1865797, 315977, 1042506, 1276490, 644684, 1280073, 632398, 304719, 43088, 437329, 515664, 1907281, 101464, 1881179, 984156, 547421, 602206, 1307743, 1980512, 1675361, 1018470, 953961, 1043562, 256621, 829552, 1733746, 1804402, 1404533, 1215607, 1432184, 493690, 106109, 957063, 1413769, 126090, 1530505, 634512, 1229969, 1740434, 582806, 446107, 706205, 39072, 2016933, 1953959, 1560747, 554162, 1433266, 1721010, 246456, 1478328, 1128636, 2042558, 489663, 1514177, 58562, 1130690, 1895620, 1940673, 1278153, 112330, 1726666, 764620, 1780939, 1960141, 500431, 963280, 1710799, 834772, 1618644, 936150, 850649, 1040089, 144603, 1170649, 1508569, 459998, 1145055, 2028764, 1844449, 34532, 1944810, 691949, 1724653, 2031344, 2011895, 1965817, 218366, 1535745, 713477, 736517, 824070, 1002251, 1341708, 1342223, 691473, 943891, 1596182, 1706263, 2005271, 133913, 157466, 335643, 676639, 29472, 1475361, 462114, 1264931, 1147173, 1326888, 329001, 1224489, 1932075, 780076, 223021, 433966, 572207, 1093934, 1787180, 1497394, 1671475, 738100, 739124, 805173, 501560, 757561, 260412, 1068350, 245055, 786752, 1356096, 927554, 1649984, 1646916, 1398085, 1498951, 1161545, 1857869, 960846, 1442126, 722256, 194385, 464722, 778066, 1088854, 78168, 432985, 394586, 249180, 792927, 1117023, 2037089, 1098602, 528747, 1345390, 350580, 1488759, 1212792, 1103227, 1951619, 1937797, 2032006, 1122183, 1588616, 622475, 180115, 91028, 1481109, 1504150, 1466777, 222618, 1572763, 147870, 833953, 1804707, 637863, 654247, 981496, 267691, 1582000, 1770416, 376243, 1831348, 709557, 994229, 348600, 1373624, 1977274, 1693115, 1975740, 107458, 551364, 772548, 130502, 762310, 1286086, 1150924, 1812429, 1892304, 618449, 768982, 372184, 520155, 992220, 1393628, 463838, 1256414, 323040, 727009, 1176545, 1447390, 1581020, 21989, 1794022, 667623, 775656, 975337, 1500136, 331755, 1758700, 1179643, 237552, 1071088, 1182193, 1110517, 1492469, 1019895, 1751544, 1959417, 1521659, 901116, 1025534, 1333759}	40
Foo	 Mr. Choong	{98310, 577544, 1511957, 586774, 1158176, 920101, 729640, 784426, 105522, 1354292, 1553994, 788050, 1718355, 897629, 474208, 1813091, 829552, 1395826, 423027, 258685, 957063, 2022535, 1229969, 322194, 1740434, 1012375, 858787, 868022, 1942199, 1478328, 1150652, 59584, 1982152, 1278153, 864458, 1551052, 658125, 771284, 818905, 233178, 1260768, 1271019, 1386731, 375041, 1535745, 23300, 1245449, 1735948, 943891, 447259, 1443618, 1147173, 591661, 1550125, 98095, 572207, 1671475, 574273, 1626952, 674125, 1917785, 200031, 137568, 477034, 1081707, 82286, 1579887, 683890, 2020226, 1752977, 1708954, 672670, 639396, 645542, 1610673, 1523122, 1693115, 443837, 1766334, 816577, 620995, 1009605, 1174983, 1131982, 372184, 1256414, 1855969, 1768931, 775656, 431593, 1704948, 503290}	643
Moran	 Mr. James	{1493509, 1722375, 61448, 364559, 1308176, 1527824, 304659, 1499156, 586774, 514583, 88097, 1398823, 729640, 1790509, 689711, 529466, 2023995, 843338, 821840, 113745, 788050, 1432668, 394333, 1505377, 2001007, 829552, 650354, 502899, 644728, 32383, 1571972, 327813, 957063, 1984651, 891021, 1229969, 1740434, 58517, 962715, 39072, 625313, 906920, 548521, 1090222, 138930, 416949, 1024191, 1726666, 1918154, 739536, 1613009, 233178, 599770, 1224414, 1065698, 34532, 1041637, 224495, 1334516, 2011895, 1019131, 218366, 1535745, 1245449, 1341708, 157466, 1454367, 1443618, 1787180, 1550125, 1671475, 1626952, 1877328, 327004, 200031, 792927, 1727330, 1258855, 867176, 1589609, 1098602, 157547, 507243, 1970023, 544634, 104319, 1937797, 386956, 1232278, 880547, 170413, 1582000, 709557, 933303, 1693115, 551364, 762310, 1174983, 1892304, 1073107, 458709, 1620440, 1581020, 1734108, 1256414, 1149409, 721378, 775656, 150507, 1704948, 313854}	5
Brown	 Mr. Thomas William Solomon	{98310, 550924, 1308176, 1499156, 1511957, 586774, 1837590, 409626, 749085, 818717, 184861, 1533984, 1545246, 794659, 202277, 333863, 729640, 784426, 236592, 1354292, 1220664, 1031737, 1443900, 1054785, 939587, 114768, 788050, 1637973, 203350, 1307228, 1507933, 1085537, 782434, 1087587, 845412, 1432163, 494696, 1751658, 1705068, 496238, 1497198, 829552, 1261168, 1167986, 423027, 1404533, 441462, 1097340, 106109, 1491584, 976005, 957063, 505994, 1503370, 1984651, 892560, 778897, 1229969, 1740434, 1450132, 1771156, 37015, 962715, 1571486, 906920, 429225, 548521, 1118382, 21683, 1478328, 1271481, 1143997, 59584, 230086, 745673, 864458, 1278153, 764620, 1551052, 1726666, 1918154, 1613009, 1777362, 1568469, 1017047, 233178, 142048, 34532, 1302249, 1281258, 1386731, 1643243, 1827049, 316142, 589039, 1247471, 2014450, 245, 404213, 2011895, 1795323, 1787132, 1123583, 1535745, 1563906, 824070, 1646344, 1245449, 502541, 1276174, 1925901, 1635600, 609554, 760083, 943891, 932633, 544539, 862491, 1454367, 1820448, 1047329, 562466, 1147173, 1760553, 1205547, 481069, 1550125, 572207, 1899821, 1671475, 1150780, 567102, 359743, 1603902, 574273, 860481, 1742146, 127303, 802120, 1539401, 1626952, 31564, 1485644, 1877328, 387926, 1005398, 1330009, 394586, 327004, 1297245, 2017119, 200031, 137568, 792927, 293730, 1418591, 1442143, 1091941, 1727330, 1730917, 867176, 1797993, 528747, 1345390, 1579887, 1469296, 683890, 281460, 111478, 1122678, 1273207, 1408888, 1921399, 1812860, 669566, 258943, 296326, 1203083, 433548, 1323917, 1942926, 1432976, 181137, 91028, 595350, 169879, 222618, 1143197, 147870, 1889186, 637863, 269224, 1666471, 1011114, 328107, 1372079, 1722288, 2002352, 121269, 270774, 1341366, 1373624, 1693115, 1383359, 816577, 1606084, 762310, 1174983, 797641, 1131982, 1892304, 618449, 744402, 1547732, 768982, 465879, 1884120, 16858, 1734108, 1256414, 323040, 721378, 1768931, 925668, 1002469, 775656, 1182193, 150517, 889850, 313854, 605695}	684
